Component;Dimensions;Item
Perception;Meritocratic;How important is having ambition?
Perception;Meritocratic;How important is hard work?
Perception;Non-meritocratic;How important is coming from a wealthy family?
Perception;Non-meritocratic;How important is having well-educated parents?
Perception;Non-meritocratic;How important is a person's race?
Perception;Non-meritocratic;How important is being born a man or a woman?
Perception;Non-meritocratic;How important is knowing the right people
Perception;Non-meritocratic;How important is having political connections
Preference;Meritocratic;How well he or she does the job?
Preference;Meritocratic;How hard he or she works at the job?
Preference;Non-meritocratic;What is needed to support a family?
Preference;Non-meritocratic;Whether the person has children to support?
